tick,spread,pb2_mid,nav,SMA_10,SMA_20,SMA_50,SMA_100
63,65.0,30631.0,30566.0,63.3,59.9,52.41,
64,67.0,30633.0,30566.0,63.95,60.6,52.74,
65,66.5,30633.5,30567.0,64.3,61.1,53.04,
66,65.0,30631.0,30566.0,64.5,61.45,53.37,
67,64.5,30630.5,30566.0,64.95,61.8,53.64,
68,65.0,30632.0,30567.0,65.25,62.425,53.99,
69,64.0,30630.0,30566.0,65.2,62.925,54.34,
70,65.5,30631.5,30566.0,65.1,63.25,54.74,
71,64.0,30629.0,30565.0,64.95,63.675,55.11,
72,60.5,30627.5,30567.0,64.7,63.825,55.35,
73,57.5,30624.5,30567.0,63.95,63.625,55.52,
74,50.5,30620.5,30570.0,62.3,63.125,55.63,
75,52.0,30621.0,30569.0,60.85,62.575,55.71,
76,49.5,30615.5,30566.0,59.3,61.9,55.78,
77,50.5,30612.5,30562.0,57.9,61.425,55.85,
78,48.0,30609.0,30561.0,56.2,60.725,55.85,
79,51.5,30611.5,30560.0,54.95,60.075,55.95,
80,52.5,30614.5,30562.0,53.65,59.375,56.05,
81,51.0,30609.0,30558.0,52.35,58.65,56.07,
82,51.5,30600.5,30549.0,51.45,58.075,56.07,
83,52.0,30598.0,30546.0,50.9,57.425,56.1,
84,49.5,30594.5,30545.0,50.8,56.55,56.19,
85,51.0,30595.0,30544.0,50.7,55.775,56.31,
86,55.0,30594.0,30539.0,51.25,55.275,56.52,
87,53.5,30591.5,30538.0,51.55,54.725,56.77,
88,54.0,30594.0,30540.0,52.15,54.175,57.04,
89,54.0,30597.0,30543.0,52.4,53.675,57.23,
90,56.5,30599.5,30543.0,52.8,53.225,57.42,
91,53.5,30595.5,30542.0,53.05,52.7,57.54,
92,55.5,30597.5,30542.0,53.45,52.45,57.64,
93,53.0,30599.0,30546.0,53.55,52.225,57.64,
94,57.0,30606.0,30549.0,54.3,52.55,57.72,
95,54.5,30605.5,30551.0,54.65,52.675,57.68,
96,59.0,30611.0,30552.0,55.05,53.15,57.7,
97,58.5,30611.5,30553.0,55.55,53.55,57.72,
98,60.5,30612.5,30552.0,56.2,54.175,57.88,
99,59.0,30609.0,30550.0,56.7,54.55,57.98,
100,59.0,30606.0,30547.0,56.95,54.875,57.98,54.2
101,60.0,30608.0,30548.0,57.6,55.325,58.07,54.3
102,59.5,30607.5,30548.0,58.0,55.725,58.11,54.355
103,61.5,30609.5,30548.0,58.85,56.2,58.11,54.42
104,61.0,30605.0,30544.0,59.25,56.775,58.12,54.445
105,60.5,30605.5,30545.0,59.85,57.25,58.07,54.5
106,64.0,30611.0,30547.0,60.35,57.7,58.09,54.565
107,63.0,30609.0,30546.0,60.8,58.175,58.15,54.605
108,65.0,30611.0,30546.0,61.25,58.725,58.21,54.67
109,70.0,30616.0,30546.0,62.35,59.525,58.32,54.835
110,74.5,30618.5,30544.0,63.9,60.425,58.48,55.075
111,72.0,30619.0,30547.0,65.1,61.35,58.61,55.28
112,72.0,30619.0,30547.0,66.35,62.175,58.79,55.485
113,74.5,30620.5,30546.0,67.65,63.25,58.98,55.695
114,74.5,30610.5,30536.0,69.0,64.125,59.13,55.935
115,74.5,30615.5,30541.0,70.4,65.125,59.29,56.165
116,71.5,30613.5,30542.0,71.15,65.75,59.42,56.395
117,73.5,30618.5,30545.0,72.2,66.5,59.6,56.62
118,73.5,30621.5,30548.0,73.05,67.15,59.77,56.88
119,70.0,30618.0,30548.0,73.05,67.7,59.89,57.115
120,69.0,30615.0,30546.0,72.5,68.2,59.96,57.35
121,70.0,30618.0,30548.0,72.3,68.7,60.08,57.595
122,68.5,30617.5,30549.0,71.95,69.15,60.24,57.795
123,65.0,30614.0,30549.0,71.0,69.325,60.39,57.955
124,66.5,30608.5,30542.0,70.2,69.6,60.71,58.17
125,66.0,30608.0,30542.0,69.35,69.875,60.99,58.35
126,63.0,30607.0,30544.0,68.5,69.825,61.26,58.52
127,62.5,30607.5,30545.0,67.4,69.8,61.5,58.675
128,60.5,30606.5,30546.0,66.1,69.575,61.75,58.8
129,58.0,30609.0,30551.0,64.9,68.975,61.88,58.915
130,63.0,30614.0,30551.0,64.3,68.4,62.09,59.07
131,62.5,30613.5,30551.0,63.55,67.925,62.32,59.195
132,60.5,30614.5,30554.0,62.75,67.35,62.5,59.285
133,64.0,30614.0,30550.0,62.65,66.825,62.74,59.42
134,64.0,30612.0,30548.0,62.4,66.3,63.03,59.61
135,62.0,30610.0,30548.0,62.0,65.675,63.25,59.78
136,65.0,30615.0,30550.0,62.2,65.35,63.45,59.985
137,62.5,30614.5,30552.0,62.2,64.8,63.63,60.2
138,63.5,30618.5,30555.0,62.5,64.3,63.82,60.43
139,63.0,30618.0,30555.0,63.0,63.95,64.0,60.615
140,65.0,30620.0,30555.0,63.2,63.75,64.17,60.795
141,68.5,30623.5,30555.0,63.8,63.675,64.47,61.005
142,67.5,30627.5,30560.0,64.5,63.625,64.71,61.175
143,67.0,30626.0,30559.0,64.8,63.725,64.99,61.315
144,67.5,30627.5,30560.0,65.15,63.775,65.2,61.46
145,67.5,30627.5,30560.0,65.7,63.85,65.46,61.57
146,67.0,30628.0,30561.0,65.9,64.05,65.62,61.66
147,71.0,30633.0,30562.0,66.75,64.475,65.87,61.795
148,71.0,30633.0,30562.0,67.5,65.0,66.08,61.98
149,68.0,30630.0,30562.0,68.0,65.5,66.26,62.12
150,68.0,30630.0,30562.0,68.3,65.75,66.44,62.21
151,70.5,30632.5,30562.0,68.5,66.15,66.65,62.36
152,71.0,30630.0,30559.0,68.85,66.675,66.88,62.495
153,67.0,30629.0,30562.0,68.85,66.825,66.99,62.55
154,67.0,30629.0,30562.0,68.8,66.975,67.11,62.615
155,64.5,30625.5,30561.0,68.5,67.1,67.19,62.63
156,64.5,30625.5,30561.0,68.25,67.075,67.2,62.645
157,64.5,30625.5,30561.0,67.6,67.175,67.23,62.69
158,62.5,30622.5,30560.0,66.75,67.125,67.18,62.695
159,60.5,30620.5,30560.0,66.0,67.0,66.99,62.655
160,62.5,30622.5,30560.0,65.45,66.875,66.75,62.615
161,63.5,30625.5,30562.0,64.75,66.625,66.58,62.595
162,65.0,30627.0,30562.0,64.15,66.5,66.44,62.615
163,66.0,30628.0,30562.0,64.05,66.45,66.27,62.625
164,65.5,30630.5,30565.0,63.9,66.35,66.09,62.61
165,62.5,30633.5,30571.0,63.7,66.1,65.85,62.57
166,65.5,30634.5,30569.0,63.8,66.025,65.73,62.575
167,66.5,30633.5,30567.0,64.0,65.8,65.59,62.595
168,67.0,30632.0,30565.0,64.45,65.6,65.46,62.615
169,66.0,30631.0,30565.0,65.0,65.5,65.38,62.635
170,69.5,30634.5,30565.0,65.7,65.575,65.39,62.675
171,66.5,30632.5,30566.0,66.0,65.375,65.32,62.7
172,66.5,30634.5,30568.0,66.15,65.15,65.28,62.76
173,63.5,30631.5,30568.0,65.9,64.975,65.25,62.82
174,62.0,30630.0,30568.0,65.55,64.725,65.16,62.935
175,62.5,30627.5,30565.0,65.55,64.625,65.09,63.04
176,67.0,30633.0,30566.0,65.7,64.75,65.17,63.215
177,65.0,30631.0,30566.0,65.55,64.775,65.22,63.36
178,68.0,30630.0,30562.0,65.65,65.05,65.37,63.56
179,64.5,30626.5,30562.0,65.5,65.25,65.5,63.69
180,65.0,30628.0,30563.0,65.05,65.375,65.54,63.815
181,61.5,30621.5,30560.0,64.55,65.275,65.52,63.92
182,58.0,30618.0,30560.0,63.7,64.925,65.47,63.985
183,57.0,30615.0,30558.0,63.05,64.475,65.33,64.035
184,58.0,30613.0,30555.0,62.65,64.1,65.21,64.12
185,56.5,30614.5,30558.0,62.05,63.8,65.1,64.175
186,59.0,30616.0,30557.0,61.25,63.475,64.98,64.215
187,58.0,30616.0,30558.0,60.55,63.05,64.89,64.26
188,57.0,30617.0,30560.0,59.45,62.55,64.76,64.29
189,56.5,30613.5,30557.0,58.65,62.075,64.63,64.315
190,54.0,30611.0,30557.0,57.55,61.3,64.41,64.29
191,55.5,30611.5,30556.0,56.95,60.75,64.15,64.31
192,56.5,30614.5,30558.0,56.8,60.25,63.93,64.32
193,57.0,30615.0,30558.0,56.8,59.925,63.73,64.36
194,57.5,30615.5,30558.0,56.75,59.7,63.53,64.365
195,59.0,30612.0,30553.0,57.0,59.525,63.36,64.41
196,62.0,30616.0,30554.0,57.3,59.275,63.26,64.44
197,59.0,30615.0,30556.0,57.4,58.975,63.02,64.445
198,59.5,30614.5,30555.0,57.65,58.55,62.79,64.435
199,58.5,30612.5,30554.0,57.85,58.25,62.6,64.43
200,58.5,30612.5,30554.0,58.3,57.925,62.41,64.425
201,53.0,30609.0,30556.0,58.05,57.5,62.06,64.355
202,52.0,30608.0,30556.0,57.6,57.2,61.68,64.28
203,48.5,30604.5,30556.0,56.75,56.775,61.31,64.15
204,51.5,30602.5,30551.0,56.15,56.45,61.0,64.055
205,50.5,30595.5,30545.0,55.3,56.15,60.72,63.955
206,48.5,30594.5,30546.0,53.95,55.625,60.4,63.8
207,48.5,30593.5,30545.0,52.9,55.15,60.08,63.655
208,46.0,30593.0,30547.0,51.55,54.6,59.75,63.465
209,44.0,30590.0,30546.0,50.1,53.975,59.42,63.205
210,48.5,30591.5,30543.0,49.1,53.7,59.14,62.945
211,50.5,30594.5,30544.0,48.85,53.45,58.88,62.73
212,51.5,30595.5,30544.0,48.8,53.2,58.61,62.525
213,49.0,30593.0,30544.0,48.85,52.8,58.27,62.27
214,46.0,30588.0,30542.0,48.3,52.225,57.88,61.985
215,42.0,30585.0,30543.0,47.45,51.375,57.47,61.66
216,40.5,30584.5,30544.0,46.65,50.3,56.97,61.35
217,41.0,30584.0,30543.0,45.9,49.4,56.46,61.025
218,45.5,30587.5,30542.0,45.85,48.7,56.03,60.745
219,47.5,30589.5,30542.0,46.2,48.15,55.66,60.52
220,46.5,30588.5,30542.0,46.0,47.55,55.2,60.295
221,48.0,30588.0,30540.0,45.75,47.3,54.83,60.075
222,50.5,30590.5,30540.0,45.65,47.225,54.51,59.895
223,49.5,30589.5,30540.0,45.7,47.275,54.23,59.74
224,52.0,30591.0,30539.0,46.3,47.3,54.03,59.595
225,51.5,30589.5,30538.0,47.25,47.35,53.81,59.45
226,51.5,30591.5,30540.0,48.35,47.5,53.5,59.335
227,48.5,30586.5,30538.0,49.1,47.5,53.17,59.195
228,52.5,30591.5,30539.0,49.8,47.825,52.86,59.115
229,52.0,30592.0,30540.0,50.25,48.225,52.61,59.055
230,52.5,30592.5,30540.0,50.85,48.425,52.36,58.95
231,52.5,30592.5,30540.0,51.3,48.525,52.18,58.85
232,47.5,30592.5,30545.0,51.0,48.325,51.97,58.72
233,43.0,30588.0,30545.0,50.35,48.025,51.69,58.51
234,43.5,30587.5,30544.0,49.5,47.9,51.4,58.305
235,45.5,30589.5,30544.0,48.9,48.075,51.18,58.14
236,45.5,30589.5,30544.0,48.3,48.325,50.91,57.945
237,44.0,30589.0,30545.0,47.85,48.475,50.63,57.76
238,43.5,30589.5,30546.0,46.95,48.375,50.36,57.56
239,44.0,30590.0,30546.0,46.15,48.2,50.11,57.37
240,47.0,30592.0,30545.0,45.6,48.225,49.97,57.19
241,47.0,30591.0,30544.0,45.05,48.175,49.8,56.975
242,49.0,30593.0,30544.0,45.2,48.1,49.65,56.79
243,50.5,30594.5,30544.0,45.95,48.15,49.52,56.625
244,50.0,30594.0,30544.0,46.6,48.05,49.37,56.45
245,50.0,30594.0,30544.0,47.05,47.975,49.19,56.275
246,50.5,30592.5,30542.0,47.55,47.925,48.96,56.11
247,51.0,30595.0,30544.0,48.25,48.05,48.8,55.91
248,55.0,30598.0,30543.0,49.4,48.175,48.71,55.75
249,53.0,30597.0,30544.0,50.3,48.225,48.6,55.6
250,49.5,30598.5,30549.0,50.55,48.075,48.42,55.415
251,48.0,30596.0,30548.0,50.65,47.85,48.32,55.19
252,50.0,30598.0,30548.0,50.75,47.975,48.28,54.98
253,51.0,30601.0,30550.0,50.8,48.375,48.33,54.82
254,54.0,30602.0,30548.0,51.2,48.9,48.38,54.69
255,55.5,30601.5,30546.0,51.75,49.4,48.48,54.6
256,54.5,30602.5,30548.0,52.15,49.85,48.6,54.5
257,56.0,30603.0,30547.0,52.65,50.45,48.75,54.415
258,58.0,30604.0,30546.0,52.95,51.175,48.99,54.37
259,59.5,30606.5,30547.0,53.6,51.95,49.3,54.36
260,55.5,30613.5,30558.0,54.2,52.375,49.44,54.29
261,55.0,30612.0,30557.0,54.9,52.775,49.53,54.205
262,57.0,30615.0,30558.0,55.6,53.175,49.64,54.125
263,55.5,30613.5,30558.0,56.05,53.425,49.77,54.02
264,60.5,30616.5,30556.0,56.7,53.95,50.06,53.97
265,58.0,30614.0,30556.0,56.95,54.35,50.38,53.925
266,60.5,30614.5,30554.0,57.55,54.85,50.78,53.875
267,60.5,30616.5,30556.0,58.0,55.325,51.17,53.815
268,59.5,30616.5,30557.0,58.15,55.55,51.45,53.74
269,62.0,30618.0,30556.0,58.4,56.0,51.74,53.7
270,63.0,30619.0,30556.0,59.15,56.675,52.07,53.635
271,61.0,30619.0,30558.0,59.75,57.325,52.33,53.58
272,60.0,30620.0,30560.0,60.05,57.825,52.52,53.515
273,64.0,30623.0,30559.0,60.9,58.475,52.81,53.52
274,60.5,30621.5,30561.0,60.9,58.8,52.98,53.505
275,64.5,30626.5,30562.0,61.55,59.25,53.24,53.525
276,67.5,30631.5,30564.0,62.25,59.9,53.56,53.53
277,62.5,30626.5,30564.0,62.45,60.225,53.84,53.505
278,63.0,30630.0,30567.0,62.8,60.475,54.05,53.455
279,63.5,30630.5,30567.0,62.95,60.675,54.28,53.445
280,65.5,30630.5,30565.0,63.2,61.175,54.54,53.45
281,67.0,30635.0,30568.0,63.8,61.775,54.83,53.505
282,65.5,30634.5,30569.0,64.35,62.2,55.19,53.58
283,62.5,30631.5,30569.0,64.2,62.55,55.58,53.635
284,59.5,30628.5,30569.0,64.1,62.5,55.9,53.65
285,58.0,30628.0,30570.0,63.45,62.5,56.15,53.665
286,58.0,30625.0,30567.0,62.5,62.375,56.4,53.655
287,61.5,30627.5,30566.0,62.4,62.425,56.75,53.69
288,61.5,30629.5,30568.0,62.25,62.525,57.11,53.735
289,64.0,30622.0,30558.0,62.3,62.625,57.51,53.81
290,63.5,30627.5,30564.0,62.1,62.65,57.84,53.905
291,64.5,30626.5,30562.0,61.85,62.825,58.19,53.995
292,59.5,30625.5,30566.0,61.25,62.8,58.4,54.025
293,62.0,30626.0,30564.0,61.2,62.7,58.63,54.075
294,60.5,30624.5,30564.0,61.3,62.7,58.84,54.105
295,56.5,30627.5,30571.0,61.15,62.3,58.97,54.08
296,61.5,30631.5,30570.0,61.5,62.0,59.19,54.075
297,61.5,30629.5,30568.0,61.5,61.95,59.4,54.1
298,60.5,30632.5,30572.0,61.4,61.825,59.51,54.11
299,61.0,30633.0,30572.0,61.1,61.7,59.67,54.135
300,61.0,30634.0,30573.0,60.85,61.475,59.9,54.16
301,60.5,30634.5,30574.0,60.45,61.15,60.15,54.235
302,64.0,30637.0,30573.0,60.9,61.075,60.43,54.355
303,62.5,30636.5,30574.0,60.95,61.075,60.66,54.495
304,63.5,30638.5,30575.0,61.25,61.275,60.85,54.615
305,63.0,30638.0,30575.0,61.9,61.525,61.0,54.74
306,61.5,30637.5,30576.0,61.9,61.7,61.14,54.87
307,61.5,30639.5,30578.0,61.9,61.7,61.25,55.0
308,61.0,30643.0,30582.0,61.95,61.675,61.31,55.15
309,61.5,30641.5,30580.0,62.0,61.55,61.35,55.325
310,62.5,30642.5,30580.0,62.15,61.5,61.49,55.465
311,64.5,30644.5,30580.0,62.55,61.5,61.68,55.605
312,62.5,30643.5,30581.0,62.4,61.65,61.79,55.715
313,63.5,30644.5,30581.0,62.5,61.725,61.95,55.86
314,66.0,30643.0,30577.0,62.75,62.0,62.06,56.06
315,65.0,30641.0,30576.0,62.95,62.425,62.2,56.29
316,64.0,30640.0,30576.0,63.2,62.55,62.27,56.525
317,65.0,30639.0,30574.0,63.55,62.725,62.36,56.765
318,63.5,30639.5,30576.0,63.8,62.875,62.44,56.945
319,64.0,30640.0,30576.0,64.05,63.025,62.48,57.11
320,65.0,30640.0,30575.0,64.3,63.225,62.52,57.295
321,65.0,30639.0,30574.0,64.35,63.45,62.6,57.465
322,65.0,30638.0,30573.0,64.6,63.5,62.7,57.61
323,64.0,30637.0,30573.0,64.65,63.575,62.7,57.755
324,66.5,30636.5,30570.0,64.7,63.725,62.82,57.9
325,61.5,30632.5,30571.0,64.35,63.65,62.76,58.0
326,66.0,30635.0,30569.0,64.55,63.875,62.73,58.145
327,64.0,30632.0,30568.0,64.45,64.0,62.76,58.3
328,66.5,30630.5,30564.0,64.75,64.275,62.83,58.44
329,66.5,30634.5,30568.0,65.0,64.525,62.89,58.585
330,66.5,30632.5,30566.0,65.15,64.725,62.91,58.725
331,68.0,30632.0,30564.0,65.45,64.9,62.93,58.88
332,66.5,30631.5,30565.0,65.6,65.1,62.95,59.07
333,69.0,30634.0,30565.0,66.1,65.375,63.08,59.33
334,70.5,30633.5,30563.0,66.5,65.6,63.3,59.6
335,69.5,30633.5,30564.0,67.3,65.825,63.53,59.84
336,69.5,30631.5,30562.0,67.65,66.1,63.76,60.08
337,72.5,30638.5,30566.0,68.5,66.475,63.98,60.365
338,70.0,30635.0,30565.0,68.85,66.8,64.15,60.63
339,72.0,30637.0,30565.0,69.4,67.2,64.31,60.91
340,72.0,30637.0,30565.0,69.95,67.55,64.48,61.16
341,72.0,30639.0,30567.0,70.35,67.9,64.63,61.41
342,72.5,30642.5,30570.0,70.95,68.275,64.89,61.645
343,74.0,30645.0,30571.0,71.45,68.775,65.13,61.88
344,76.0,30645.0,30569.0,72.0,69.25,65.44,62.14
345,73.0,30643.0,30570.0,72.35,69.825,65.77,62.37
346,74.0,30644.0,30570.0,72.8,70.225,66.02,62.605
347,75.0,30647.0,30572.0,73.05,70.775,66.29,62.845
348,74.0,30646.0,30572.0,73.45,71.15,66.56,63.035
349,71.5,30645.5,30574.0,73.4,71.4,66.77,63.22
350,68.5,30640.5,30572.0,73.05,71.5,66.92,63.41
351,68.0,30640.0,30572.0,72.65,71.5,67.07,63.61
352,70.5,30644.5,30574.0,72.45,71.7,67.2,63.815
353,72.0,30643.0,30571.0,72.25,71.85,67.39,64.025
354,68.5,30640.5,30572.0,71.5,71.75,67.49,64.17
355,66.5,30638.5,30572.0,70.85,71.6,67.56,64.28
356,67.5,30639.5,30572.0,70.2,71.5,67.68,64.41
357,64.0,30637.0,30573.0,69.1,71.075,67.73,64.49
358,64.5,30639.5,30575.0,68.15,70.8,67.8,64.555
359,65.5,30644.5,30579.0,67.55,70.475,67.88,64.615
360,67.5,30645.5,30578.0,67.45,70.25,67.98,64.735
361,71.0,30647.0,30576.0,67.75,70.2,68.11,64.895
362,70.0,30649.0,30579.0,67.7,70.075,68.26,65.025
363,68.5,30648.5,30580.0,67.35,69.8,68.36,65.155
364,69.5,30649.5,30580.0,67.45,69.475,68.43,65.245
365,70.0,30650.0,30580.0,67.8,69.325,68.53,65.365
366,68.0,30652.0,30584.0,67.85,69.025,68.61,65.44
367,68.5,30652.5,30584.0,68.3,68.7,68.68,65.52
368,69.5,30654.5,30585.0,68.8,68.475,68.8,65.62
369,69.0,30654.0,30585.0,69.15,68.35,68.9,65.69
370,71.5,30655.5,30584.0,69.55,68.5,69.03,65.775
371,72.5,30657.5,30585.0,69.7,68.725,69.18,65.89
372,71.5,30658.5,30587.0,69.85,68.775,69.31,66.005
373,70.5,30658.5,30588.0,70.05,68.7,69.44,66.07
374,71.0,30659.0,30588.0,70.2,68.825,69.53,66.175
375,70.0,30658.0,30588.0,70.2,69.0,69.7,66.23
376,70.5,30657.5,30587.0,70.45,69.15,69.79,66.26
377,72.0,30660.0,30588.0,70.8,69.55,69.95,66.355
378,73.5,30661.5,30588.0,71.2,70.0,70.09,66.46
379,71.5,30661.5,30590.0,71.45,70.3,70.19,66.54
380,72.0,30659.0,30587.0,71.5,70.525,70.3,66.605
381,69.5,30658.5,30589.0,71.2,70.45,70.33,66.63
382,74.5,30662.5,30588.0,71.5,70.675,70.49,66.72
383,74.5,30661.5,30587.0,71.9,70.975,70.6,66.84
384,75.0,30662.0,30587.0,72.3,71.25,70.69,66.995
385,76.5,30661.5,30585.0,72.95,71.575,70.83,67.18
386,77.0,30661.0,30584.0,73.6,72.025,70.98,67.37
387,79.5,30663.5,30584.0,74.35,72.575,71.12,67.55
388,83.5,30666.5,30583.0,75.35,73.275,71.39,67.77
389,77.0,30666.0,30589.0,75.9,73.675,71.49,67.9
390,81.5,30674.5,30593.0,76.85,74.175,71.68,68.08
391,81.0,30675.0,30594.0,78.0,74.6,71.86,68.245
392,79.5,30673.5,30594.0,78.5,75.0,72.0,68.445
393,75.5,30669.5,30594.0,78.6,75.25,72.03,68.58
394,78.0,30671.0,30593.0,78.9,75.6,72.07,68.755
395,83.5,30677.5,30594.0,79.6,76.275,72.28,69.025
396,78.0,30672.0,30594.0,79.7,76.65,72.36,69.19
397,78.0,30672.0,30594.0,79.55,76.95,72.42,69.355
398,76.0,30671.0,30595.0,78.8,77.075,72.46,69.51
399,75.5,30669.5,30594.0,78.65,77.275,72.54,69.655
400,79.5,30675.5,30596.0,78.45,77.65,72.76,69.84
401,80.0,30674.0,30594.0,78.35,78.175,73.0,70.035
402,79.0,30671.0,30592.0,78.3,78.4,73.17,70.185
403,76.5,30670.5,30594.0,78.4,78.5,73.26,70.325
404,76.0,30671.0,30595.0,78.2,78.55,73.41,70.45
405,79.0,30680.0,30601.0,77.75,78.675,73.66,70.61
406,76.5,30677.5,30601.0,77.6,78.65,73.84,70.76
407,80.0,30682.0,30602.0,77.8,78.675,74.16,70.945
408,82.0,30684.0,30602.0,78.4,78.6,74.51,71.155
409,78.0,30681.0,30603.0,78.65,78.65,74.76,71.32
410,75.0,30678.0,30603.0,78.2,78.325,74.91,71.445
411,76.0,30679.0,30603.0,77.8,78.075,75.01,71.56
412,75.0,30675.0,30600.0,77.4,77.85,75.11,71.685
413,79.0,30677.0,30598.0,77.65,78.025,75.32,71.84
414,77.5,30675.5,30598.0,77.8,78.0,75.48,71.955
415,73.5,30671.5,30598.0,77.25,77.5,75.55,72.04
416,73.5,30673.5,30600.0,76.95,77.275,75.66,72.135
417,73.5,30675.5,30602.0,76.3,77.05,75.76,72.22
418,73.0,30675.0,30602.0,75.4,76.9,75.83,72.315
419,70.5,30670.5,30600.0,74.65,76.65,75.86,72.38
420,69.5,30669.5,30600.0,74.1,76.15,75.82,72.425
421,69.5,30666.5,30597.0,73.45,75.625,75.76,72.47
422,69.5,30666.5,30597.0,72.9,75.15,75.72,72.515
423,69.0,30666.0,30597.0,71.9,74.775,75.69,72.565
424,70.0,30664.0,30594.0,71.15,74.475,75.67,72.6
425,67.5,30660.5,30593.0,70.55,73.9,75.62,72.66
426,68.5,30658.5,30590.0,70.05,73.5,75.58,72.685
427,69.0,30660.0,30591.0,69.6,72.95,75.52,72.735
428,69.0,30660.0,30591.0,69.2,72.3,75.43,72.76
429,65.5,30657.5,30592.0,68.7,71.675,75.31,72.75
430,67.0,30655.0,30588.0,68.45,71.275,75.21,72.755
431,66.5,30655.5,30589.0,68.15,70.8,75.15,72.74
432,67.5,30655.5,30588.0,67.95,70.425,75.01,72.75
433,67.5,30656.5,30589.0,67.8,69.85,74.87,72.735
434,60.5,30653.5,30593.0,66.85,69.0,74.58,72.635
435,61.5,30653.5,30592.0,66.25,68.4,74.28,72.555
436,58.0,30650.0,30592.0,65.2,67.625,73.9,72.44
437,61.0,30649.0,30588.0,64.4,67.0,73.53,72.325
438,57.5,30646.5,30589.0,63.25,66.225,73.01,72.2
439,59.5,30648.5,30589.0,62.65,65.675,72.66,72.075
440,59.5,30650.5,30591.0,61.9,65.175,72.22,71.95
441,57.5,30649.5,30592.0,61.0,64.575,71.75,71.805
442,57.0,30645.0,30588.0,59.95,63.95,71.3,71.65
443,58.0,30646.0,30588.0,59.0,63.4,70.95,71.49
444,59.0,30645.0,30586.0,58.85,62.85,70.57,71.32
445,53.0,30639.0,30586.0,58.0,62.125,69.96,71.12
446,55.0,30641.0,30586.0,57.7,61.45,69.5,70.93
447,55.5,30641.5,30586.0,57.15,60.775,69.05,70.735
448,55.0,30637.0,30582.0,56.9,60.075,68.63,70.545
449,54.0,30636.0,30582.0,56.35,59.5,68.2,70.37
450,58.5,30641.5,30583.0,56.25,59.075,67.78,70.27
451,56.5,30642.5,30586.0,56.15,58.575,67.31,70.155
