tick,pb2_mid,nav
29500,30631.5,30570.0
29600,30629.5,30568.0
29700,30632.5,30572.0
29800,30633.0,30572.0
29900,30634.0,30573.0
30000,30634.5,30574.0
30100,30637.0,30573.0
30200,30636.5,30574.0
30300,30638.5,30575.0
30400,30638.0,30575.0
30500,30637.5,30576.0
30600,30639.5,30578.0
30700,30643.0,30582.0
30800,30641.5,30580.0
30900,30642.5,30580.0
31000,30644.5,30580.0
31100,30643.5,30581.0
31200,30644.5,30581.0
31300,30643.0,30577.0
31400,30641.0,30576.0
31500,30640.0,30576.0
31600,30639.0,30574.0
31700,30639.5,30576.0
31800,30640.0,30576.0
31900,30640.0,30575.0
32000,30639.0,30574.0
32100,30638.0,30573.0
32200,30637.0,30573.0
32300,30636.5,30570.0
32400,30632.5,30571.0
32500,30635.0,30569.0
32600,30632.0,30568.0
32700,30630.5,30564.0
32800,30634.5,30568.0
32900,30632.5,30566.0
33000,30632.0,30564.0
33100,30631.5,30565.0
33200,30634.0,30565.0
33300,30633.5,30563.0
33400,30633.5,30564.0
33500,30631.5,30562.0
33600,30638.5,30566.0
33700,30635.0,30565.0
33800,30637.0,30565.0
33900,30637.0,30565.0
34000,30639.0,30567.0
34100,30642.5,30570.0
34200,30645.0,30571.0
34300,30645.0,30569.0
34400,30643.0,30570.0
34500,30644.0,30570.0
34600,30647.0,30572.0
34700,30646.0,30572.0
34800,30645.5,30574.0
34900,30640.5,30572.0
35000,30640.0,30572.0
35100,30644.5,30574.0
35200,30643.0,30571.0
35300,30640.5,30572.0
35400,30638.5,30572.0
35500,30639.5,30572.0
35600,30637.0,30573.0
35700,30639.5,30575.0
35800,30644.5,30579.0
35900,30645.5,30578.0
36000,30647.0,30576.0
36100,30649.0,30579.0
36200,30648.5,30580.0
36300,30649.5,30580.0
36400,30650.0,30580.0
36500,30652.0,30584.0
36600,30652.5,30584.0
36700,30654.5,30585.0
36800,30654.0,30585.0
36900,30655.5,30584.0
37000,30657.5,30585.0
37100,30658.5,30587.0
37200,30658.5,30588.0
37300,30659.0,30588.0
37400,30658.0,30588.0
37500,30657.5,30587.0
37600,30660.0,30588.0
37700,30661.5,30588.0
37800,30661.5,30590.0
37900,30659.0,30587.0
38000,30658.5,30589.0
38100,30662.5,30588.0
38200,30661.5,30587.0
38300,30662.0,30587.0
38400,30661.5,30585.0
38500,30661.0,30584.0
38600,30663.5,30584.0
38700,30666.5,30583.0
38800,30666.0,30589.0
38900,30674.5,30593.0
39000,30675.0,30594.0
39100,30673.5,30594.0
39200,30669.5,30594.0
39300,30671.0,30593.0
39400,30677.5,30594.0
39500,30672.0,30594.0
39600,30672.0,30594.0
39700,30671.0,30595.0
39800,30669.5,30594.0
39900,30675.5,30596.0
40000,30674.0,30594.0
40100,30671.0,30592.0
40200,30670.5,30594.0
40300,30671.0,30595.0
40400,30680.0,30601.0
40500,30677.5,30601.0
40600,30682.0,30602.0
40700,30684.0,30602.0
40800,30681.0,30603.0
40900,30678.0,30603.0
41000,30679.0,30603.0
41100,30675.0,30600.0
41200,30677.0,30598.0
41300,30675.5,30598.0
41400,30671.5,30598.0
41500,30673.5,30600.0
41600,30675.5,30602.0
41700,30675.0,30602.0
41800,30670.5,30600.0
41900,30669.5,30600.0
42000,30666.5,30597.0
42100,30666.5,30597.0
42200,30666.0,30597.0
42300,30664.0,30594.0
42400,30660.5,30593.0
42500,30658.5,30590.0
42600,30660.0,30591.0
42700,30660.0,30591.0
42800,30657.5,30592.0
42900,30655.0,30588.0
43000,30655.5,30589.0
43100,30655.5,30588.0
43200,30656.5,30589.0
43300,30653.5,30593.0
43400,30653.5,30592.0
43500,30650.0,30592.0
43600,30649.0,30588.0
43700,30646.5,30589.0
43800,30648.5,30589.0
43900,30650.5,30591.0
44000,30649.5,30592.0
44100,30645.0,30588.0
44200,30646.0,30588.0
44300,30645.0,30586.0
44400,30639.0,30586.0
44500,30641.0,30586.0
44600,30641.5,30586.0
44700,30637.0,30582.0
44800,30636.0,30582.0
44900,30641.5,30583.0
45000,30642.5,30586.0
45100,30646.5,30588.0
45200,30646.0,30585.0
45300,30645.5,30586.0
45400,30642.5,30587.0
45500,30644.0,30587.0
45600,30643.5,30589.0
45700,30640.0,30586.0
45800,30643.5,30588.0
45900,30645.5,30591.0
46000,30642.5,30592.0
46100,30644.5,30592.0
46200,30647.0,30594.0
46300,30644.0,30592.0
46400,30640.0,30591.0
46500,30648.5,30596.0
46600,30651.5,30600.0
46700,30654.0,30602.0
46800,30653.5,30601.0
46900,30652.5,30601.0
47000,30651.5,30602.0
47100,30655.0,30604.0
47200,30650.0,30598.0
47300,30652.0,30602.0
47400,30654.0,30602.0
47500,30653.5,30602.0
47600,30652.5,30601.0
47700,30653.5,30600.0
47800,30653.5,30600.0
47900,30649.5,30597.0
48000,30649.5,30598.0
48100,30649.0,30596.0
48200,30650.0,30596.0
48300,30647.5,30595.0
48400,30647.0,30595.0
48500,30648.5,30595.0
48600,30649.5,30595.0
48700,30648.5,30592.0
48800,30650.5,30593.0
48900,30656.0,30596.0
49000,30655.0,30596.0
49100,30656.5,30597.0
49200,30657.5,30596.0
49300,30654.0,30593.0
49400,30657.0,30595.0
49500,30652.5,30595.0
49600,30647.0,30589.0
49700,30661.5,30604.0
49800,30663.5,30606.0
49900,30663.0,30606.0
50000,30663.5,30602.0
50100,30663.5,30604.0
50200,30660.0,30601.0
50300,30664.0,30606.0
50400,30662.0,30607.0
50500,30662.0,30604.0
50600,30661.5,30605.0
50700,30661.5,30606.0
50800,30662.0,30606.0
50900,30663.5,30607.0
51000,30665.5,30608.0
51100,30665.5,30609.0
51200,30657.5,30607.0
51300,30659.5,30607.0
51400,30658.0,30608.0
51500,30655.0,30606.0
51600,30651.0,30604.0
51700,30649.0,30602.0
51800,30648.5,30601.0
51900,30646.0,30602.0
52000,30645.0,30602.0
52100,30646.0,30604.0
52200,30648.5,30604.0
52300,30647.0,30602.0
52400,30647.5,30602.0
52500,30647.5,30600.0
52600,30649.5,30598.0
52700,30649.5,30600.0
52800,30651.5,30600.0
52900,30648.0,30598.0
53000,30648.5,30595.0
53100,30643.5,30592.0
53200,30639.0,30593.0
53300,30639.5,30594.0
53400,30639.0,30592.0
53500,30640.5,30592.0
53600,30639.0,30592.0
53700,30643.5,30594.0
53800,30643.0,30592.0
53900,30643.5,30592.0
54000,30638.5,30590.0
54100,30638.5,30590.0
54200,30641.0,30592.0
54300,30645.0,30594.0
54400,30649.0,30596.0
54500,30646.5,30596.0
54600,30644.0,30595.0
54700,30646.5,30594.0
54800,30644.0,30594.0
54900,30647.5,30594.0
55000,30647.0,30596.0
55100,30650.5,30596.0
55200,30649.0,30594.0
55300,30651.0,30594.0
55400,30655.5,30598.0
55500,30658.0,30601.0
55600,30660.0,30602.0
55700,30661.0,30600.0
55800,30663.0,30600.0
55900,30658.5,30600.0
56000,30661.5,30600.0
56100,30660.5,30600.0
56200,30653.5,30596.0
56300,30658.5,30598.0
56400,30652.5,30595.0
56500,30651.5,30595.0
56600,30652.0,30596.0
56700,30650.5,30597.0
56800,30652.5,30598.0
56900,30651.5,30600.0
57000,30648.5,30600.0
57100,30649.5,30600.0
57200,30648.5,30600.0
57300,30646.5,30596.0
57400,30650.0,30598.0
57500,30646.5,30598.0
57600,30647.0,30598.0
57700,30645.0,30599.0
57800,30648.0,30602.0
57900,30648.5,30604.0
58000,30649.5,30604.0
58100,30648.0,30605.0
58200,30646.5,30600.0
58300,30648.0,30604.0
58400,30649.0,30604.0
58500,30646.5,30602.0
58600,30647.0,30602.0
58700,30646.5,30602.0
58800,30652.0,30605.0
58900,30653.5,30605.0
59000,30652.5,30604.0
59100,30648.5,30604.0
59200,30653.5,30605.0
59300,30655.5,30608.0
59400,30650.0,30604.0
59500,30650.0,30608.0
59600,30649.0,30608.0
59700,30649.5,30608.0
59800,30654.0,30609.0
59900,30651.5,30607.0
60000,30652.5,30608.0
60100,30652.5,30609.0
60200,30650.0,30608.0
60300,30647.5,30609.0
60400,30650.0,30612.0
60500,30650.0,30612.0
60600,30650.0,30612.0
60700,30649.0,30612.0
60800,30646.0,30610.0
60900,30648.0,30610.0
61000,30650.5,30611.0
61100,30650.0,30612.0
61200,30648.0,30612.0
61300,30656.5,30619.0
61400,30660.0,30624.0
61500,30661.0,30624.0
61600,30661.5,30624.0
61700,30660.0,30621.0
61800,30660.0,30625.0
61900,30661.0,30626.0
62000,30662.0,30626.0
62100,30664.0,30628.0
62200,30670.0,30633.0
62300,30665.0,30632.0
62400,30668.0,30634.0
62500,30669.0,30635.0
62600,30672.0,30637.0
62700,30673.5,30638.0
62800,30677.5,30642.0
62900,30682.5,30647.0
63000,30684.0,30646.0
63100,30684.5,30644.0
63200,30681.0,30642.0
63300,30681.5,30642.0
63400,30681.5,30644.0
63500,30684.0,30646.0
63600,30685.0,30646.0
63700,30682.0,30643.0
63800,30684.0,30645.0
63900,30687.0,30648.0
64000,30690.5,30650.0
64100,30689.5,30651.0
64200,30691.5,30654.0
64300,30693.5,30653.0
64400,30691.5,30652.0
64500,30690.5,30650.0
64600,30692.5,30653.0
64700,30695.0,30652.0
64800,30692.0,30652.0
64900,30692.5,30651.0
65000,30688.5,30651.0
65100,30687.5,30650.0
65200,30687.0,30649.0
65300,30689.5,30647.0
65400,30687.5,30648.0
65500,30689.5,30649.0
65600,30690.0,30646.0
65700,30690.5,30648.0
65800,30687.5,30646.0
65900,30686.5,30644.0
66000,30687.5,30646.0
66100,30685.5,30646.0
66200,30686.0,30647.0
66300,30683.5,30648.0
66400,30682.0,30643.0
66500,30685.5,30644.0
66600,30687.0,30643.0
66700,30689.5,30643.0
66800,30686.5,30644.0
66900,30685.0,30644.0
67000,30687.0,30645.0
67100,30690.0,30644.0
67200,30690.5,30646.0
67300,30687.5,30645.0
67400,30682.5,30639.0
67500,30684.0,30642.0
67600,30686.0,30643.0
67700,30684.5,30644.0
67800,30686.5,30646.0
67900,30685.5,30646.0
68000,30691.5,30649.0
68100,30692.5,30648.0
68200,30695.5,30652.0
68300,30694.5,30652.0
68400,30693.5,30649.0
68500,30696.0,30651.0
68600,30696.0,30651.0
68700,30699.0,30652.0
68800,30699.0,30652.0
68900,30702.5,30652.0
69000,30707.5,30655.0
69100,30707.5,30657.0
69200,30703.5,30655.0
69300,30699.5,30655.0
69400,30699.5,30656.0
69500,30701.0,30655.0
69600,30701.0,30654.0
69700,30699.0,30655.0
69800,30697.5,30654.0
69900,30696.5,30654.0
70000,30692.0,30652.0
70100,30694.5,30652.0
70200,30696.5,30653.0
70300,30700.5,30658.0
70400,30704.0,30655.0
70500,30705.0,30658.0
70600,30704.0,30658.0
70700,30705.0,30656.0
70800,30704.0,30657.0
70900,30702.0,30656.0
71000,30702.5,30658.0
71100,30702.5,30658.0
71200,30702.5,30658.0
71300,30701.5,30658.0
71400,30703.5,30662.0
71500,30709.5,30663.0
71600,30708.5,30664.0
71700,30710.5,30666.0
71800,30709.5,30665.0
71900,30707.5,30664.0
72000,30706.5,30664.0
72100,30704.0,30664.0
72200,30703.0,30662.0
72300,30699.0,30659.0
72400,30699.5,30663.0
72500,30704.0,30664.0
72600,30702.5,30660.0
72700,30704.0,30660.0
72800,30708.0,30660.0
72900,30709.5,30664.0
73000,30708.0,30662.0
73100,30707.5,30661.0
73200,30711.0,30664.0
73300,30706.0,30657.0
73400,30714.5,30665.0
73500,30714.0,30666.0
73600,30716.0,30667.0
73700,30719.0,30667.0
73800,30718.0,30668.0
73900,30719.0,30668.0
74000,30719.0,30668.0
74100,30717.5,30667.0
74200,30718.5,30668.0
74300,30720.0,30666.0
74400,30724.0,30668.0
74500,30720.0,30664.0
74600,30721.0,30664.0
74700,30717.5,30662.0
74800,30715.5,30661.0
74900,30717.0,30663.0
75000,30718.0,30663.0
75100,30718.0,30665.0
75200,30716.5,30663.0
75300,30716.0,30665.0
75400,30711.5,30662.0
75500,30712.5,30662.0
75600,30712.0,30662.0
75700,30713.0,30662.0
75800,30711.5,30662.0
75900,30709.0,30662.0
76000,30713.5,30661.0
76100,30714.5,30664.0
76200,30717.5,30667.0
76300,30714.0,30667.0
76400,30719.0,30668.0
76500,30721.0,30669.0
76600,30723.5,30671.0
76700,30727.5,30672.0
76800,30729.0,30672.0
76900,30737.0,30677.0
77000,30736.5,30679.0
77100,30735.5,30679.0
77200,30732.0,30677.0
77300,30735.0,30681.0
77400,30734.5,30680.0
77500,30738.5,30682.0
77600,30739.0,30682.0
77700,30739.0,30681.0
77800,30741.5,30679.0
77900,30739.0,30678.0
78000,30739.0,30678.0
78100,30734.0,30675.0
78200,30736.0,30679.0
78300,30732.5,30678.0
78400,30736.0,30675.0
78500,30736.0,30676.0
78600,30735.5,30678.0
78700,30736.0,30678.0
78800,30737.0,30678.0
78900,30735.0,30679.0
79000,30735.5,30679.0
79100,30734.0,30679.0
79200,30735.0,30682.0
79300,30731.0,30682.0
79400,30731.5,30683.0
79500,30731.5,30683.0
79600,30731.0,30683.0
79700,30731.0,30681.0
79800,30732.5,30681.0
79900,30732.5,30684.0
80000,30732.5,30684.0
80100,30732.0,30684.0
80200,30733.0,30683.0
80300,30732.0,30683.0
80400,30734.5,30686.0
80500,30739.0,30686.0
80600,30743.0,30690.0
80700,30751.0,30694.0
80800,30754.5,30698.0
80900,30755.0,30699.0
81000,30754.0,30701.0
81100,30750.5,30697.0
81200,30749.5,30696.0
81300,30748.0,30700.0
81400,30746.5,30702.0
81500,30748.5,30702.0
81600,30752.5,30706.0
81700,30755.5,30706.0
81800,30762.0,30711.0
81900,30757.5,30706.0
82000,30760.0,30708.0
82100,30754.5,30703.0
82200,30752.5,30703.0
82300,30754.5,30706.0
82400,30755.5,30704.0
82500,30749.5,30697.0
82600,30752.5,30697.0
82700,30753.5,30699.0
82800,30753.0,30698.0
82900,30759.5,30698.0
83000,30760.5,30699.0
83100,30767.5,30703.0
83200,30771.0,30703.0
83300,30766.5,30701.0
83400,30762.0,30700.0
83500,30757.5,30696.0
83600,30761.0,30696.0
83700,30759.0,30696.0
83800,30760.5,30698.0
83900,30757.0,30696.0
84000,30756.5,30696.0
84100,30756.0,30696.0
84200,30756.5,30696.0
84300,30758.0,30698.0
84400,30756.0,30695.0
84500,30755.5,30696.0
84600,30754.5,30696.0
84700,30754.5,30695.0
84800,30753.5,30696.0
84900,30751.0,30696.0
85000,30750.0,30696.0
85100,30753.5,30695.0
85200,30755.5,30696.0
85300,30757.5,30699.0
85400,30755.5,30697.0
85500,30753.5,30700.0
85600,30754.5,30697.0
85700,30753.5,30700.0
85800,30751.5,30700.0
85900,30750.5,30701.0
86000,30750.5,30700.0
86100,30755.5,30704.0
86200,30756.0,30704.0
86300,30753.0,30704.0
86400,30757.0,30706.0
86500,30756.5,30709.0
86600,30756.0,30709.0
86700,30755.0,30705.0
86800,30754.5,30704.0
86900,30754.5,30706.0
87000,30757.5,30706.0
87100,30755.5,30704.0
87200,30756.0,30706.0
87300,30757.5,30706.0
87400,30760.5,30705.0
87500,30762.0,30705.0
87600,30760.0,30704.0
87700,30766.0,30706.0
87800,30764.0,30704.0
87900,30765.0,30706.0
88000,30761.0,30705.0
88100,30762.5,30705.0
88200,30765.5,30706.0
88300,30767.5,30706.0
88400,30765.0,30706.0
88500,30765.0,30706.0
88600,30763.5,30706.0
88700,30764.5,30704.0
88800,30764.5,30704.0
88900,30763.0,30704.0
89000,30762.5,30703.0
89100,30759.0,30702.0
89200,30756.5,30696.0
89300,30753.0,30696.0
89400,30756.0,30696.0
89500,30756.5,30696.0
89600,30756.0,30694.0
89700,30755.0,30695.0
89800,30748.0,30690.0
89900,30747.0,30690.0
90000,30748.0,30690.0
90100,30746.5,30688.0
90200,30741.0,30686.0
90300,30739.5,30685.0
90400,30738.5,30685.0
90500,30738.0,30685.0
90600,30734.0,30681.0
90700,30737.0,30681.0
90800,30735.0,30682.0
90900,30734.0,30680.0
91000,30729.0,30680.0
91100,30724.5,30672.0
91200,30728.5,30676.0
91300,30730.0,30676.0
91400,30729.5,30676.0
91500,30729.0,30674.0
91600,30726.0,30674.0
91700,30725.5,30674.0
91800,30728.0,30675.0
91900,30728.0,30675.0
92000,30733.0,30682.0
92100,30733.0,30681.0
92200,30735.5,30684.0
92300,30735.5,30680.0
92400,30737.0,30680.0
92500,30743.5,30684.0
92600,30746.0,30686.0
92700,30749.5,30686.0
92800,30752.5,30689.0
92900,30754.0,30690.0
93000,30756.5,30691.0
93100,30758.5,30688.0
93200,30758.0,30688.0
93300,30757.0,30687.0
93400,30756.0,30688.0
93500,30757.5,30687.0
93600,30753.5,30686.0
93700,30754.5,30688.0
93800,30756.0,30686.0
93900,30753.0,30685.0
94000,30750.5,30686.0
94100,30747.0,30682.0
94200,30744.5,30682.0
94300,30744.0,30682.0
94400,30742.5,30682.0
94500,30743.5,30678.0
94600,30746.5,30682.0
94700,30740.5,30680.0
94800,30737.5,30680.0
94900,30737.0,30678.0
95000,30738.5,30680.0
95100,30737.0,30680.0
95200,30735.5,30680.0
95300,30731.0,30676.0
95400,30727.0,30676.0
95500,30729.5,30678.0
95600,30729.0,30678.0
95700,30731.0,30679.0
95800,30733.0,30679.0
95900,30731.0,30679.0
96000,30735.0,30679.0
96100,30733.0,30679.0
96200,30728.5,30679.0
96300,30730.0,30678.0
96400,30727.5,30678.0
96500,30733.0,30682.0
96600,30733.0,30682.0
96700,30732.5,30682.0
96800,30727.5,30681.0
96900,30728.0,30682.0
97000,30730.5,30683.0
97100,30731.5,30684.0
97200,30731.0,30684.0
97300,30732.5,30688.0
97400,30736.5,30690.0
97500,30738.5,30691.0
97600,30735.5,30692.0
97700,30734.0,30691.0
97800,30727.5,30684.0
97900,30729.5,30684.0
98000,30730.0,30684.0
98100,30733.5,30688.0
98200,30733.5,30689.0
98300,30740.0,30695.0
98400,30741.0,30695.0
98500,30740.5,30695.0
98600,30738.5,30693.0
98700,30735.0,30692.0
98800,30738.5,30691.0
98900,30739.0,30690.0
99000,30738.5,30692.0
99100,30740.0,30689.0
99200,30738.0,30690.0
99300,30744.0,30696.0
99400,30743.0,30697.0
99500,30747.0,30700.0
99600,30749.5,30702.0
99700,30751.5,30703.0
99800,30750.5,30704.0
99900,30748.0,30703.0
100000,30750.5,30702.0
100100,30748.0,30702.0
100200,30747.5,30701.0
100300,30752.5,30705.0
100400,30750.0,30702.0
100500,30751.0,30700.0
100600,30751.5,30701.0
100700,30754.0,30704.0
100800,30753.0,30703.0
100900,30751.0,30708.0
101000,30757.0,30708.0
101100,30752.0,30706.0
101200,30749.0,30704.0
101300,30750.5,30705.0
101400,30752.0,30703.0
101500,30746.5,30703.0
101600,30748.0,30703.0
101700,30750.5,30705.0
101800,30752.0,30707.0
101900,30751.5,30705.0
102000,30754.5,30707.0
102100,30753.5,30707.0
102200,30755.0,30707.0
102300,30756.0,30707.0
102400,30759.0,30707.0
102500,30759.5,30709.0
102600,30759.5,30709.0
102700,30756.5,30708.0
102800,30755.5,30710.0
102900,30752.5,30711.0
103000,30752.5,30711.0
103100,30752.5,30710.0
103200,30750.0,30709.0
103300,30746.0,30708.0
103400,30744.5,30708.0
103500,30749.0,30708.0
103600,30751.5,30708.0
103700,30755.0,30710.0
103800,30753.0,30706.0
103900,30755.0,30706.0
104000,30755.0,30705.0
104100,30752.5,30702.0
104200,30750.5,30704.0
104300,30748.0,30702.0
104400,30746.5,30700.0
104500,30748.5,30702.0
104600,30748.0,30704.0
104700,30750.5,30704.0
104800,30750.5,30706.0
104900,30748.5,30706.0
105000,30748.0,30704.0
105100,30749.0,30704.0
105200,30745.0,30702.0
105300,30748.0,30701.0
105400,30747.0,30699.0
105500,30747.0,30703.0
105600,30746.5,30702.0
105700,30752.5,30704.0
105800,30753.5,30703.0
105900,30752.5,30702.0
106000,30752.0,30705.0
106100,30754.0,30708.0
106200,30750.5,30704.0
106300,30748.5,30703.0
106400,30754.0,30707.0
106500,30757.0,30706.0
106600,30759.0,30708.0
106700,30758.5,30708.0
106800,30760.0,30712.0
106900,30758.0,30708.0
107000,30758.5,30708.0
107100,30762.5,30710.0
107200,30765.0,30710.0
107300,30763.5,30708.0
107400,30766.0,30712.0
