tick,spread
30400,63.0
30500,61.5
30600,61.5
30700,61.0
30800,61.5
30900,62.5
31000,64.5
31100,62.5
31200,63.5
31300,66.0
31400,65.0
31500,64.0
31600,65.0
31700,63.5
31800,64.0
31900,65.0
32000,65.0
32100,65.0
32200,64.0
32300,66.5
32400,61.5
32500,66.0
32600,64.0
32700,66.5
32800,66.5
32900,66.5
33000,68.0
33100,66.5
33200,69.0
33300,70.5
33400,69.5
33500,69.5
33600,72.5
33700,70.0
33800,72.0
33900,72.0
34000,72.0
34100,72.5
34200,74.0
34300,76.0
34400,73.0
34500,74.0
34600,75.0
34700,74.0
34800,71.5
34900,68.5
35000,68.0
35100,70.5
35200,72.0
35300,68.5
35400,66.5
35500,67.5
35600,64.0
35700,64.5
35800,65.5
35900,67.5
36000,71.0
36100,70.0
36200,68.5
36300,69.5
36400,70.0
36500,68.0
36600,68.5
36700,69.5
36800,69.0
36900,71.5
37000,72.5
37100,71.5
37200,70.5
37300,71.0
37400,70.0
37500,70.5
37600,72.0
37700,73.5
37800,71.5
37900,72.0
38000,69.5
38100,74.5
38200,74.5
38300,75.0
38400,76.5
38500,77.0
38600,79.5
38700,83.5
38800,77.0
38900,81.5
39000,81.0
39100,79.5
39200,75.5
39300,78.0
39400,83.5
39500,78.0
39600,78.0
39700,76.0
39800,75.5
39900,79.5
40000,80.0
40100,79.0
40200,76.5
40300,76.0
40400,79.0
40500,76.5
40600,80.0
40700,82.0
40800,78.0
40900,75.0
41000,76.0
41100,75.0
41200,79.0
41300,77.5
41400,73.5
41500,73.5
41600,73.5
41700,73.0
41800,70.5
41900,69.5
42000,69.5
42100,69.5
42200,69.0
42300,70.0
42400,67.5
42500,68.5
42600,69.0
42700,69.0
42800,65.5
42900,67.0
43000,66.5
43100,67.5
43200,67.5
43300,60.5
43400,61.5
43500,58.0
43600,61.0
43700,57.5
43800,59.5
43900,59.5
44000,57.5
44100,57.0
44200,58.0
44300,59.0
44400,53.0
44500,55.0
44600,55.5
44700,55.0
44800,54.0
44900,58.5
45000,56.5
45100,58.5
45200,61.0
45300,59.5
45400,55.5
45500,57.0
45600,54.5
45700,54.0
45800,55.5
45900,54.5
46000,50.5
46100,52.5
46200,53.0
46300,52.0
46400,49.0
46500,52.5
46600,51.5
46700,52.0
46800,52.5
46900,51.5
47000,49.5
47100,51.0
47200,52.0
47300,50.0
47400,52.0
47500,51.5
47600,51.5
47700,53.5
47800,53.5
47900,52.5
48000,51.5
48100,53.0
48200,54.0
48300,52.5
48400,52.0
48500,53.5
48600,54.5
48700,56.5
48800,57.5
48900,60.0
49000,59.0
49100,59.5
49200,61.5
49300,61.0
49400,62.0
49500,57.5
49600,58.0
49700,57.5
49800,57.5
49900,57.0
50000,61.5
50100,59.5
50200,59.0
50300,58.0
50400,55.0
50500,58.0
50600,56.5
50700,55.5
50800,56.0
50900,56.5
51000,57.5
51100,56.5
51200,50.5
51300,52.5
51400,50.0
51500,49.0
51600,47.0
51700,47.0
51800,47.5
51900,44.0
52000,43.0
52100,42.0
52200,44.5
52300,45.0
52400,45.5
52500,47.5
52600,51.5
52700,49.5
52800,51.5
52900,50.0
53000,53.5
53100,51.5
53200,46.0
53300,45.5
53400,47.0
53500,48.5
53600,47.0
53700,49.5
53800,51.0
53900,51.5
54000,48.5
54100,48.5
54200,49.0
54300,51.0
54400,53.0
54500,50.5
54600,49.0
54700,52.5
54800,50.0
54900,53.5
55000,51.0
55100,54.5
55200,55.0
55300,57.0
55400,57.5
55500,57.0
55600,58.0
55700,61.0
55800,63.0
55900,58.5
56000,61.5
56100,60.5
56200,57.5
56300,60.5
56400,57.5
56500,56.5
56600,56.0
56700,53.5
56800,54.5
56900,51.5
57000,48.5
57100,49.5
57200,48.5
57300,50.5
57400,52.0
57500,48.5
57600,49.0
57700,46.0
57800,46.0
57900,44.5
58000,45.5
58100,43.0
58200,46.5
58300,44.0
58400,45.0
58500,44.5
58600,45.0
58700,44.5
58800,47.0
58900,48.5
59000,48.5
59100,44.5
59200,48.5
59300,47.5
59400,46.0
59500,42.0
59600,41.0
59700,41.5
59800,45.0
59900,44.5
60000,44.5
60100,43.5
60200,42.0
60300,38.5
60400,38.0
60500,38.0
60600,38.0
60700,37.0
60800,36.0
60900,38.0
61000,39.5
61100,38.0
61200,36.0
61300,37.5
61400,36.0
61500,37.0
61600,37.5
61700,39.0
61800,35.0
61900,35.0
62000,36.0
62100,36.0
62200,37.0
62300,33.0
62400,34.0
62500,34.0
62600,35.0
62700,35.5
62800,35.5
62900,35.5
63000,38.0
63100,40.5
63200,39.0
63300,39.5
63400,37.5
63500,38.0
63600,39.0
63700,39.0
63800,39.0
63900,39.0
64000,40.5
64100,38.5
64200,37.5
64300,40.5
64400,39.5
64500,40.5
64600,39.5
64700,43.0
64800,40.0
64900,41.5
65000,37.5
65100,37.5
65200,38.0
65300,42.5
65400,39.5
65500,40.5
65600,44.0
65700,42.5
65800,41.5
65900,42.5
66000,41.5
66100,39.5
66200,39.0
66300,35.5
66400,39.0
66500,41.5
66600,44.0
66700,46.5
66800,42.5
66900,41.0
67000,42.0
67100,46.0
67200,44.5
67300,42.5
67400,43.5
67500,42.0
67600,43.0
67700,40.5
67800,40.5
67900,39.5
68000,42.5
68100,44.5
68200,43.5
68300,42.5
68400,44.5
68500,45.0
68600,45.0
68700,47.0
68800,47.0
68900,50.5
69000,52.5
69100,50.5
69200,48.5
69300,44.5
69400,43.5
69500,46.0
69600,47.0
69700,44.0
69800,43.5
69900,42.5
70000,40.0
70100,42.5
70200,43.5
70300,42.5
70400,49.0
70500,47.0
70600,46.0
70700,49.0
70800,47.0
70900,46.0
71000,44.5
71100,44.5
71200,44.5
71300,43.5
71400,41.5
71500,46.5
71600,44.5
71700,44.5
71800,44.5
71900,43.5
72000,42.5
72100,40.0
72200,41.0
72300,40.0
72400,36.5
72500,40.0
72600,42.5
72700,44.0
72800,48.0
72900,45.5
73000,46.0
73100,46.5
73200,47.0
73300,49.0
73400,49.5
73500,48.0
73600,49.0
73700,52.0
73800,50.0
73900,51.0
74000,51.0
74100,50.5
74200,50.5
74300,54.0
74400,56.0
74500,56.0
74600,57.0
74700,55.5
74800,54.5
74900,54.0
75000,55.0
75100,53.0
75200,53.5
75300,51.0
75400,49.5
75500,50.5
75600,50.0
75700,51.0
75800,49.5
75900,47.0
76000,52.5
76100,50.5
76200,50.5
76300,47.0
76400,51.0
76500,52.0
76600,52.5
76700,55.5
76800,57.0
76900,60.0
77000,57.5
77100,56.5
77200,55.0
77300,54.0
77400,54.5
77500,56.5
77600,57.0
77700,58.0
77800,62.5
77900,61.0
78000,61.0
78100,59.0
78200,57.0
78300,54.5
78400,61.0
78500,60.0
78600,57.5
78700,58.0
78800,59.0
78900,56.0
79000,56.5
79100,55.0
79200,53.0
79300,49.0
79400,48.5
79500,48.5
79600,48.0
79700,50.0
79800,51.5
79900,48.5
80000,48.5
80100,48.0
80200,50.0
80300,49.0
80400,48.5
80500,53.0
80600,53.0
80700,57.0
80800,56.5
80900,56.0
81000,53.0
81100,53.5
81200,53.5
81300,48.0
81400,44.5
81500,46.5
81600,46.5
81700,49.5
81800,51.0
81900,51.5
82000,52.0
82100,51.5
82200,49.5
82300,48.5
82400,51.5
82500,52.5
82600,55.5
82700,54.5
82800,55.0
82900,61.5
83000,61.5
83100,64.5
83200,68.0
83300,65.5
83400,62.0
83500,61.5
83600,65.0
83700,63.0
83800,62.5
83900,61.0
84000,60.5
84100,60.0
84200,60.5
84300,60.0
84400,61.0
84500,59.5
84600,58.5
84700,59.5
84800,57.5
84900,55.0
85000,54.0
85100,58.5
85200,59.5
85300,58.5
85400,58.5
85500,53.5
85600,57.5
85700,53.5
85800,51.5
85900,49.5
86000,50.5
86100,51.5
86200,52.0
86300,49.0
86400,51.0
86500,47.5
86600,47.0
86700,50.0
86800,50.5
86900,48.5
87000,51.5
87100,51.5
87200,50.0
87300,51.5
87400,55.5
87500,57.0
87600,56.0
87700,60.0
87800,60.0
87900,59.0
88000,56.0
88100,57.5
88200,59.5
88300,61.5
88400,59.0
88500,59.0
88600,57.5
88700,60.5
88800,60.5
88900,59.0
89000,59.5
89100,57.0
89200,60.5
89300,57.0
89400,60.0
89500,60.5
89600,62.0
89700,60.0
89800,58.0
89900,57.0
90000,58.0
90100,58.5
90200,55.0
90300,54.5
90400,53.5
90500,53.0
90600,53.0
90700,56.0
90800,53.0
90900,54.0
91000,49.0
91100,52.5
91200,52.5
91300,54.0
91400,53.5
91500,55.0
91600,52.0
91700,51.5
91800,53.0
91900,53.0
92000,51.0
92100,52.0
92200,51.5
92300,55.5
92400,57.0
92500,59.5
92600,60.0
92700,63.5
92800,63.5
92900,64.0
93000,65.5
93100,70.5
93200,70.0
93300,70.0
93400,68.0
93500,70.5
93600,67.5
93700,66.5
93800,70.0
93900,68.0
94000,64.5
94100,65.0
94200,62.5
94300,62.0
94400,60.5
94500,65.5
94600,64.5
94700,60.5
94800,57.5
94900,59.0
95000,58.5
95100,57.0
95200,55.5
95300,55.0
95400,51.0
95500,51.5
95600,51.0
95700,52.0
95800,54.0
95900,52.0
96000,56.0
96100,54.0
96200,49.5
96300,52.0
96400,49.5
96500,51.0
96600,51.0
96700,50.5
96800,46.5
96900,46.0
97000,47.5
97100,47.5
97200,47.0
97300,44.5
97400,46.5
97500,47.5
97600,43.5
97700,43.0
97800,43.5
97900,45.5
98000,46.0
98100,45.5
98200,44.5
98300,45.0
98400,46.0
98500,45.5
98600,45.5
98700,43.0
98800,47.5
98900,49.0
99000,46.5
99100,51.0
99200,48.0
99300,48.0
99400,46.0
99500,47.0
99600,47.5
99700,48.5
99800,46.5
99900,45.0
100000,48.5
100100,46.0
100200,46.5
100300,47.5
100400,48.0
100500,51.0
100600,50.5
100700,50.0
100800,50.0
100900,43.0
101000,49.0
101100,46.0
101200,45.0
101300,45.5
101400,49.0
101500,43.5
101600,45.0
101700,45.5
101800,45.0
101900,46.5
102000,47.5
102100,46.5
102200,48.0
102300,49.0
102400,52.0
102500,50.5
102600,50.5
102700,48.5
102800,45.5
102900,41.5
103000,41.5
103100,42.5
103200,41.0
103300,38.0
103400,36.5
103500,41.0
103600,43.5
103700,45.0
103800,47.0
103900,49.0
104000,50.0
104100,50.5
104200,46.5
104300,46.0
104400,46.5
104500,46.5
104600,44.0
104700,46.5
104800,44.5
104900,42.5
105000,44.0
105100,45.0
105200,43.0
105300,47.0
105400,48.0
105500,44.0
105600,44.5
105700,48.5
105800,50.5
105900,50.5
106000,47.0
106100,46.0
106200,46.5
106300,45.5
106400,47.0
106500,51.0
106600,51.0
106700,50.5
106800,48.0
106900,50.0
107000,50.5
107100,52.5
107200,55.0
107300,55.5
107400,54.0
107500,56.0
107600,59.5
107700,57.0
107800,56.5
107900,56.0
108000,56.5
108100,54.0
108200,57.0
108300,57.0
108400,54.5
108500,54.5
108600,54.5
108700,57.0
108800,53.0
108900,53.5
109000,57.0
109100,58.5
109200,58.5
109300,56.0
109400,53.0
109500,53.5
109600,54.5
109700,52.5
109800,54.0
109900,57.0
110000,56.0
110100,61.5
110200,61.0
110300,60.5
110400,64.0
110500,62.5
110600,65.0
110700,63.5
110800,61.5
110900,60.0
111000,61.5
111100,63.5
111200,66.5
111300,67.0
111400,65.0
111500,62.5
111600,60.0
111700,60.5
111800,61.0
111900,59.5
112000,59.5
112100,61.5
112200,63.5
112300,63.5
112400,58.5
112500,57.5
112600,57.0
112700,60.5
112800,60.5
112900,61.0
113000,61.0
113100,61.0
113200,63.0
113300,61.0
113400,59.0
113500,59.0
113600,61.5
113700,62.5
113800,63.5
113900,63.5
114000,69.0
114100,66.0
114200,66.5
114300,69.5
114400,62.5
114500,59.0
114600,55.5
114700,56.5
114800,58.5
114900,59.5
115000,58.0
115100,59.0
115200,60.0
115300,64.0
115400,64.0
115500,61.5
115600,63.5
115700,62.0
115800,60.5
115900,61.5
116000,62.0
116100,66.5
116200,67.5
116300,71.5
116400,74.0
116500,68.0
116600,67.5
116700,61.5
116800,66.0
116900,63.5
117000,60.5
117100,63.5
117200,62.0
117300,59.5
117400,55.0
117500,53.0
117600,53.5
117700,58.0
117800,57.5
117900,57.0
118000,56.0
118100,54.5
118200,55.0
118300,55.0
118400,57.5
118500,54.0
118600,51.5
118700,53.5
118800,54.5
118900,52.0
119000,56.5
119100,57.0
119200,54.5
119300,51.5
119400,48.0
119500,45.5
119600,46.0
119700,46.5
119800,46.0
119900,46.5
120000,46.5
120100,43.5
120200,46.5
120300,46.5
120400,45.5
120500,47.5
120600,45.0
120700,46.5
120800,47.0
120900,48.0
121000,45.5
121100,41.5
121200,41.0
121300,36.5
121400,40.0
121500,38.0
121600,34.5
121700,32.5
121800,34.0
121900,33.0
122000,35.0
122100,38.0
122200,32.0
122300,30.0
122400,28.5
122500,34.5
122600,34.5
122700,32.0
122800,29.5
122900,29.5
123000,30.5
123100,28.0
123200,26.5
123300,28.0
123400,26.5
123500,26.5
123600,29.5
123700,26.5
123800,25.0
123900,25.5
124000,22.5
124100,23.5
124200,23.5
124300,21.0
124400,17.0
124500,18.5
124600,17.0
124700,15.5
124800,18.0
124900,18.5
125000,16.5
125100,12.0
125200,11.5
125300,16.0
125400,14.0
125500,17.0
125600,19.0
125700,20.0
125800,23.0
125900,21.0
126000,24.0
126100,22.5
126200,21.0
126300,22.0
126400,19.0
126500,18.0
126600,24.5
126700,23.5
126800,25.5
126900,22.5
127000,27.0
127100,25.0
127200,22.5
127300,28.5
127400,25.0
127500,27.5
127600,28.0
127700,30.0
127800,28.5
127900,28.0
128000,29.0
128100,30.0
128200,31.0
128300,30.0
128400,32.5
128500,30.0
128600,31.5
128700,30.0
128800,33.0
128900,33.0
129000,37.5
129100,40.0
129200,41.0
129300,40.0
129400,40.0
129500,37.0
129600,40.5
129700,42.5
129800,41.5
129900,44.5
130000,39.5
130100,37.5
130200,34.5
130300,36.0
130400,35.5
130500,32.5
130600,35.0
130700,34.5
130800,34.0
130900,33.5
131000,34.0
131100,37.5
131200,36.0
131300,40.5
131400,39.0
131500,39.0
131600,39.0
131700,42.5
131800,42.5
131900,44.5
132000,47.5
132100,49.0
132200,49.5
132300,47.0
132400,44.5
132500,45.0
132600,43.5
132700,44.0
132800,44.0
132900,45.0
133000,47.0
133100,43.0
133200,45.5
133300,46.5
133400,43.5
133500,45.5
133600,45.5
133700,48.5
133800,48.5
133900,50.5
134000,51.0
134100,54.0
134200,54.0
134300,53.5
134400,51.5
134500,50.0
134600,50.0
134700,52.5
134800,50.5
134900,53.5
135000,50.5
135100,46.0
135200,45.5
135300,44.0
135400,45.0
135500,45.5
135600,42.0
135700,40.0
135800,41.5
135900,44.0
136000,39.0
136100,42.5
136200,38.0
136300,40.5
136400,39.0
136500,39.0
136600,39.0
136700,39.0
136800,38.5
136900,37.0
137000,36.0
137100,35.5
137200,35.0
137300,32.5
137400,33.0
137500,37.5
137600,36.5
137700,31.5
137800,31.0
137900,29.5
138000,29.5
138100,30.5
138200,28.5
138300,29.0
138400,32.5
138500,33.5
138600,36.5
138700,39.5
138800,37.0
138900,34.5
139000,31.5
139100,27.0
139200,29.5
139300,26.5
139400,30.5
139500,27.5
139600,30.5
139700,28.5
139800,29.5
139900,28.5
140000,32.5
140100,31.0
140200,29.5
140300,30.5
140400,27.5
140500,28.5
140600,28.0
140700,34.5
140800,30.0
140900,30.0
141000,30.0
141100,33.5
141200,30.0
141300,31.0
141400,28.0
141500,24.0
141600,23.0
141700,22.0
141800,19.5
141900,21.5
142000,20.0
142100,16.5
142200,18.0
142300,17.0
142400,17.5
142500,14.0
142600,13.0
142700,14.5
142800,15.5
142900,13.5
143000,12.0
143100,19.5
143200,19.0
143300,17.5
143400,17.5
143500,18.5
143600,19.0
143700,20.0
143800,24.5
143900,22.5
144000,23.0
144100,26.0
144200,24.5
144300,23.0
144400,21.5
144500,21.0
144600,22.5
144700,24.0
144800,27.5
144900,27.5
145000,22.0
145100,29.0
145200,26.5
145300,28.5
145400,28.0
145500,30.5
145600,30.5
145700,30.5
145800,32.0
145900,35.0
146000,33.0
146100,33.5
146200,30.5
146300,35.5
146400,30.5
146500,34.0
146600,37.0
146700,34.5
146800,31.0
146900,30.5
147000,27.5
147100,26.5
147200,21.5
147300,20.5
147400,18.5
147500,18.0
147600,20.0
147700,16.5
147800,16.0
147900,16.5
148000,17.0
148100,16.5
148200,16.5
148300,16.5
148400,15.0
148500,16.5
148600,17.5
148700,18.0
148800,19.0
148900,16.0
149000,17.0
149100,17.5
149200,19.5
149300,19.0
149400,20.5
149500,26.0
149600,29.0
149700,27.5
149800,31.0
149900,26.5
150000,27.0
150100,26.0
150200,28.5
150300,32.5
150400,32.0
150500,33.5
150600,28.5
150700,30.5
150800,36.0
150900,41.5
151000,39.0
151100,41.0
151200,39.0
151300,39.5
151400,42.0
151500,42.5
151600,40.0
151700,42.5
151800,41.5
151900,41.5
152000,45.0
152100,39.5
152200,40.5
152300,41.5
152400,39.5
152500,40.5
152600,38.0
152700,39.0
152800,38.0
152900,39.0
153000,43.0
153100,43.0
153200,43.5
153300,43.0
153400,43.0
153500,44.0
153600,42.5
153700,44.0
153800,44.0
153900,39.5
154000,41.0
154100,37.0
154200,37.5
154300,37.0
154400,35.5
154500,38.0
154600,38.5
154700,40.0
154800,44.5
154900,43.5
155000,42.0
155100,42.0
155200,41.0
155300,44.0
155400,45.0
155500,46.0
155600,45.5
155700,46.0
155800,44.5
155900,46.5
156000,45.5
156100,46.5
156200,44.0
156300,44.0
156400,47.5
156500,43.5
156600,44.5
156700,46.0
156800,45.5
156900,47.5
157000,49.0
157100,48.0
157200,47.0
157300,46.0
157400,47.0
157500,52.0
157600,48.5
157700,49.0
157800,50.0
157900,53.5
158000,52.5
158100,52.5
158200,51.5
158300,50.5
158400,52.0
158500,50.5
158600,48.0
158700,49.0
158800,46.0
158900,42.5
159000,42.0
159100,38.5
159200,37.0
159300,38.0
159400,37.0
159500,40.5
159600,43.5
159700,43.0
159800,41.5
159900,39.5
160000,37.5
160100,33.5
160200,32.5
160300,32.0
160400,29.0
160500,25.5
160600,26.0
160700,25.0
160800,25.5
160900,25.5
161000,25.0
161100,26.0
161200,29.5
161300,30.0
161400,30.0
161500,31.0
161600,28.0
161700,26.5
161800,25.5
161900,28.5
162000,30.0
162100,31.0
162200,33.5
162300,31.5
162400,26.5
162500,27.5
162600,29.5
162700,30.5
162800,28.5
162900,28.0
163000,29.5
163100,28.5
163200,30.0
163300,31.5
163400,31.0
163500,30.5
163600,28.5
163700,29.5
163800,32.5
163900,31.5
164000,36.0
164100,36.5
164200,36.5
164300,40.5
164400,40.5
164500,37.5
164600,39.5
164700,37.5
164800,40.5
164900,45.5
165000,43.5
165100,42.0
165200,42.0
165300,41.5
165400,42.0
165500,41.5
165600,41.5
165700,43.5
165800,41.5
165900,43.0
166000,42.5
166100,44.0
166200,45.0
166300,46.0
166400,44.5
166500,45.5
166600,43.5
166700,43.5
166800,46.5
166900,44.5
167000,42.0
167100,44.5
167200,46.5
167300,45.0
167400,43.5
167500,44.0
167600,48.0
167700,42.5
167800,44.0
167900,46.0
168000,44.0
168100,42.5
168200,39.5
168300,41.5
168400,42.0
168500,43.0
168600,41.5
168700,43.0
168800,43.0
168900,47.0
169000,47.5
169100,46.5
169200,41.0
169300,42.0
169400,38.0
169500,35.5
169600,31.0
169700,32.5
169800,34.5
169900,33.0
170000,31.5
170100,34.5
170200,35.0
170300,34.0
170400,32.0
170500,29.5
170600,31.0
170700,29.5
170800,30.5
170900,28.5
171000,32.0
171100,28.0
171200,29.0
171300,30.0
171400,29.5
171500,29.5
171600,30.5
171700,28.5
171800,28.0
171900,28.0
172000,30.5
172100,33.0
172200,28.5
172300,32.5
172400,30.5
172500,25.0
172600,25.0
172700,21.5
172800,21.5
172900,24.5
173000,24.5
173100,28.5
173200,29.0
173300,28.0
173400,28.5
173500,28.5
173600,27.5
173700,29.0
173800,28.5
173900,29.0
174000,28.0
174100,27.5
174200,29.0
174300,31.0
174400,28.5
174500,30.0
174600,28.5
174700,26.5
174800,26.0
174900,26.0
175000,26.0
175100,30.5
175200,31.0
175300,34.0
175400,34.0
175500,33.0
175600,33.0
175700,35.5
175800,33.5
175900,36.5
176000,35.5
176100,35.5
176200,35.5
176300,35.5
176400,33.0
176500,35.5
176600,37.0
176700,40.0
176800,37.5
176900,39.0
177000,38.5
177100,40.0
177200,39.0
177300,39.0
177400,42.0
177500,41.5
177600,42.5
177700,42.5
177800,45.0
177900,42.0
178000,44.5
178100,43.5
178200,43.0
178300,46.5
178400,41.5
178500,38.5
178600,44.0
178700,42.0
178800,42.0
178900,42.0
179000,44.5
179100,49.0
179200,49.0
179300,48.0
179400,50.0
179500,51.0
179600,49.5
179700,50.0
179800,51.5
179900,55.0
180000,55.5
180100,56.0
180200,54.5
180300,52.5
180400,52.5
180500,51.0
180600,50.0
180700,52.0
180800,54.0
180900,54.5
181000,55.5
181100,52.5
181200,53.0
181300,50.5
181400,52.5
181500,53.0
181600,49.5
181700,56.0
181800,59.5
181900,60.0
182000,56.5
182100,61.0
182200,58.0
182300,58.5
182400,55.5
182500,54.5
182600,53.5
182700,50.0
182800,49.0
182900,51.0
183000,54.5
183100,56.5
183200,57.5
183300,53.0
183400,52.0
183500,52.5
183600,51.0
183700,53.5
183800,52.5
183900,52.5
184000,54.5
184100,50.0
184200,49.0
184300,45.5
184400,45.5
184500,47.5
184600,45.5
184700,42.0
184800,41.0
184900,40.0
185000,45.5
185100,42.5
185200,40.5
185300,43.0
185400,45.0
185500,45.0
185600,43.0
185700,45.5
185800,48.0
185900,47.0
186000,45.0
186100,45.5
186200,44.0
186300,42.0
186400,46.0
186500,46.0
186600,45.5
186700,42.5
186800,43.0
186900,46.5
187000,44.5
187100,44.0
187200,45.5
187300,46.5
187400,42.5
187500,44.0
187600,43.5
187700,43.5
187800,45.5
187900,43.0
188000,42.5
188100,42.0
188200,44.5
188300,42.5
188400,38.5
188500,41.5
188600,41.0
188700,40.0
188800,40.5
188900,43.5
189000,42.5
189100,42.0
189200,38.5
189300,41.5
189400,40.5
189500,37.5
189600,37.0
189700,41.0
189800,45.5
189900,41.0
190000,44.0
190100,44.5
190200,42.5
190300,38.5
190400,37.0
190500,39.5
190600,41.5
190700,40.5
190800,41.0
190900,39.0
191000,37.0
191100,40.5
191200,38.0
191300,38.0
191400,41.5
191500,43.0
191600,44.5
191700,48.5
191800,50.5
191900,49.0
192000,51.5
192100,53.0
192200,49.0
192300,50.5
192400,52.5
192500,55.5
192600,57.5
192700,54.0
192800,53.5
192900,56.0
193000,55.0
193100,53.0
193200,54.0
193300,54.0
193400,55.0
193500,56.0
193600,55.5
193700,58.0
193800,57.0
193900,55.5
194000,52.5
194100,55.5
194200,56.5
194300,54.5
194400,56.0
194500,61.0
194600,62.5
194700,61.5
194800,61.5
194900,62.0
195000,65.0
195100,64.5
195200,65.0
195300,66.0
195400,66.5
195500,66.5
195600,68.5
195700,64.5
195800,64.5
195900,65.5
196000,61.5
196100,63.0
196200,62.5
196300,65.0
196400,63.5
196500,63.5
196600,68.0
196700,66.5
196800,66.5
196900,68.0
197000,64.5
197100,64.0
197200,66.0
197300,69.5
197400,71.5
197500,74.0
197600,72.0
197700,71.5
197800,77.0
197900,74.0
198000,71.5
198100,73.5
198200,69.0
198300,70.5
198400,67.5
198500,70.0
198600,71.0
198700,71.5
198800,69.5
198900,70.5
199000,71.0
199100,71.0
199200,76.0
199300,74.5
199400,73.0
199500,71.5
199600,69.5
199700,68.5
199800,68.5
